Value,Frequency
fz.KAMI_occupancy,1
legacy.fz.CCTSwitch_D0001_on_off,1
fz.CCTSwitch_D0001_levelctrl,1
fz.CCTSwitch_D0001_lighting,1
legacy.fz.CTR_U_brightness_updown_click,1
legacy.fz.CTR_U_brightness_updown_hold,1
legacy.fz.CTR_U_brightness_updown_release,1
legacy.fz.CTR_U_scene,1
fz.livolo_switch_state,1
fz.livolo_switch_state_raw,1
fz.livolo_new_switch_state_4gang,1
fz.livolo_new_switch_state,1
fz.livolo_new_switch_state_2gang,1
fz.livolo_curtain_switch_state,1
fz.livolo_socket_state,1
fz.livolo_dimmer_state,1
fz.livolo_cover_state,1
fz.livolo_pir_state,1
fz.U02I007C01_contact,1
fz.U02I007C01_water_leak,1
fz.keen_home_smart_vent_pressure,24
fz.ignore_onoff_report,24
fz.E1E_G7F_action,1
fz.keypad20states,1
fz.keypad20_battery,2
fz.diyruz_contact,1
fz.diyruz_rspm,1
fz.diyruz_freepad_clicks,3
fz.diyruz_freepad_config,3
fz.diyruz_geiger,1
fz.diyruz_geiger_config,1
fz.diyruz_airsense_config_co2,1
fz.diyruz_airsense_config_temp,1
fz.diyruz_airsense_config_pres,1
fz.diyruz_airsense_config_hum,1
fz.diyruz_zintercom_config,1
fz.terncy_temperature,2
fz.terncy_contact,1
fz.occupancy_with_timeout,1
fz.terncy_raw,3
legacy.fz.terncy_raw,2
legacy.fz.terncy_knob,1
legacy.fz.blitzwolf_occupancy_with_timeout,2
legacy.fz.ZGRC013_brightness_onoff,1
legacy.fz.ZGRC013_brightness,1
legacy.fz.ZGRC013_brightness_stop,1
legacy.fz.ZGRC013_cmdOn,1
legacy.fz.ZGRC013_cmdOff,1
fz.namron_thermostat,4
fz.namron_hvac_user_interface,13
fz.SP600_power,1
legacy.fz.insta_down_hold,1
legacy.fz.insta_up_hold,1
legacy.fz.LZL4B_onoff,1
legacy.fz.insta_stop,1
legacy.fz.dimmer_passthru_brightness,1
legacy.fz.eria_81825_updown,1
fz.K4003C_binary_input,1
tuya.fz.indicator_mode,1
fz.tuya_cover_options,1
tuya.fz.backlight_mode_off_on,1
fz.tuya_led_controller,1
tuya.fz.datapoints,2
tuya.fz.power_on_behavior_2,1
fz.on_off_skip_duplicate_transaction,3
fz.ts0216_siren,1
fz.ias_vibration_alarm_1_with_timeout,1
fz.tuya_cover_options_2,1
fz.ignore_haDiagnostic,2
legacy.fz.wiser_thermostat,2
legacy.fz.wiser_itrv_battery,2
fz.hvac_user_interface,18
fz.wiser_device_info,4
fz.wiser_lighting_ballast_configuration,5
fz.schneider_lighting_ballast_configuration,1
fz.wiser_smart_thermostat,2
fz.wiser_smart_thermostat_client,2
fz.wiser_smart_setpoint_command_client,2
fz.schneider_temperature,1
fz.EKO09738_metering,3
fz.occupancy_timeout,9
fz.ias_occupancy_only_alarm_2,2
fz.stelpro_thermostat,4
fz.schneider_pilot_mode,2
legacy.fz.viessmann_thermostat_att_report,1
legacy.fz.thermostat_att_report,5
fz.hue_wall_switch_device_mode,3
fz.hue_wall_switch,3
fz.ignore_command_on,3
fz.ignore_command_off,3
fz.ignore_command_step,4
fz.ignore_command_stop,3
legacy.fz.hue_dimmer_switch,2
fz.hue_dimmer_switch,1
fz.command_off_with_effect,4
legacy.fz.SmartButton_skip,2
fz.hue_smart_button_event,2
fz.hue_motion_sensitivity,4
fz.hue_motion_led_indication,4
legacy.fz.eurotronic_thermostat,1
fz.ignore_genLevelCtrl_report,4
legacy.fz.osram_lightify_switch_cmdOn,3
legacy.fz.osram_lightify_switch_cmdMoveWithOnOff,3
legacy.fz.osram_lightify_switch_AC0251100NJ_cmdStop,2
legacy.fz.osram_lightify_switch_cmdMoveToColorTemp,2
legacy.fz.osram_lightify_switch_cmdMoveHue,2
legacy.fz.osram_lightify_switch_cmdMoveToSaturation,2
legacy.fz.osram_lightify_switch_cmdOff,3
legacy.fz.osram_lightify_switch_cmdMove,3
legacy.fz.osram_lightify_switch_cmdMoveToLevelWithOnOff,2
legacy.fz.osram_lightify_switch_AB371860355_cmdOn,3
legacy.fz.osram_lightify_switch_AB371860355_cmdOff,3
legacy.fz.osram_lightify_switch_AB371860355_cmdStepColorTemp,3
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveWithOnOff,3
legacy.fz.osram_lightify_switch_AB371860355_cmdMove,3
legacy.fz.osram_lightify_switch_AB371860355_cmdStop,3
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveHue,3
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveSat,3
fz.command_store,3
fz.W2_module_carbon_monoxide,1
fz.sihas_action,7
fz.byun_smoke_true,1
fz.byun_smoke_false,1
fz.byun_gas_true,1
fz.byun_gas_false,1
fz.itcmdr_clicks,2
legacy.fz.tuya_switch,1
legacy.fz.tuya_cover,1
legacy.fz.tuya_dimmer,1
legacy.fz.osram_lightify_switch_73743_cmdStop,1
legacy.fz.stelpro_thermostat,5
fz.ias_carbon_monoxide_alarm_1_gas_alarm_2,1
fz.lifecontrolVoc,1
fz.ias_occupancy_alarm_2,13
fz.command_on_presence,3
fz.checkin_presence,3
fz._8840100H_water_leak_alarm,1
legacy.fz.neo_alarm,3
fz.command_on_state,2
fz.command_off_state,2
develco.fz.electrical_measurement,7
develco.fz.metering,9
develco.fz.device_temperature,4
develco.fz.total_power,1
develco.fz.temperature,8
develco.fz.led_control,2
develco.fz.ias_occupancy_timeout,2
develco.fz.pulse_configuration,1
develco.fz.interface_mode,1
develco.fz.voc,1
develco.fz.voc_battery,1
develco.fz.input,1
fz.meter_identification,2
fz.almond_click,1
fz.SAGE206612_state,1
legacy.fz.ZYCT202_stop,2
legacy.fz.ZYCT202_up_down,2
fz.STS_PRS_251_presence,1
legacy.fz.STS_PRS_251_beeping,1
fz.PGC410EU_presence,2
fz.smartthings_acceleration,3
fz._3310_humidity,2
fz.ias_water_leak_alarm_1_report,2
fz.command_status_change_notification_action,2
legacy.fz.st_button_state,1
fz.ias_alarm_only_alarm_1,1
fz.power_source,2
fz.ias_sos_alarm_2,1
fz.ias_gas_alarm_2,7
fz.restorable_brightness,2
fz.command_move_to_hue,2
fz.qlwz_letv8key_switch,1
fz.easycode_action,1
fz.legrand_binary_input_moving,2
fz.legrand_pilot_wire_mode,1
fz.legrand_binary_input_on_off,2
fz.metering_datek,1
fz.hw_version,1
fz.ias_occupancy_alarm_1_report,2
fz.led_on_motion,1
fz.idlock,2
fz.idlock_fw,2
fz.awox_colors,1
fz.awox_refresh,1
fz.awox_refreshColored,1
fz.ias_gas_alarm_1,4
fz.orvibo_raw_2,2
fz.lock_user_status_response,2
fz.meazon_meter,13
fz.ignore_genIdentify,3
fz.ignore_poll_ctrl,3
fz.WSZ01_on_off_action,1
fz.elko_thermostat,1
fz.kmpcil_res005_occupancy,1
fz.kmpcil_res005_on_off,1
fz.orvibo_raw_1,2
fz.curtain_position_analog_output,4
fz.DTB190502A1,1
legacy.fz.KEF1PA_arm,1
fz.ias_no_alarm,2
bitron.fz.thermostat_hysteresis,2
tz.on_off,221
tz.thermostat_local_temperature,71
tz.thermostat_system_mode,61
tz.thermostat_occupied_heating_setpoint,78
tz.battery_percentage_remaining,14
tz.thermostat_running_state,48
tz.thermostat_control_sequence_of_operation,21
tz.thermostat_weekly_schedule,12
tz.thermostat_clear_weekly_schedule,12
tz.thermostat_temperature_setpoint_hold,9
tz.thermostat_temperature_setpoint_hold_duration,8
tz.warning,21
tz.cover_state,51
tz.cover_position_tilt,50
tz.nodon_pilot_wire_mode,3
tz.ignore_transition,14
tz.lock,29
tz.pincode_lock,22
tz.lock_userstatus,4
tz.cover_via_brightness,39
tz.warning_simple,4
tz.ias_max_duration,4
tz.squawk,6
tz.power_on_behavior,33
tz.ptvo_switch_trigger,3
tz.ptvo_switch_uart,1
tz.ptvo_switch_analog_input,3
tz.ptvo_switch_light_brightness,1
tz.light_color,1
tz.ZigUP_lock,1
tz.thermostat_local_temperature_calibration,36
tz.identify,9
tz.thermostat_unoccupied_heating_setpoint,26
tz.thermostat_temperature_display_mode,17
tz.thermostat_keypad_lockout,28
tz.electrical_measurement_power,11
tz.thermostat_min_heat_setpoint_limit,4
tz.thermostat_max_heat_setpoint_limit,4
tz.frequency,4
tz.thermostat_occupied_cooling_setpoint,14
tz.easycode_auto_relock,8
tz.lock_sound_volume,12
tz.metering_power,15
tz.currentsummdelivered,18
ubisys.tz.configure_device_setup,9
tz.light_onoff_brightness,15
tz.ballast_config,16
tz.level_config,13
ubisys.tz.dimmer_setup,2
ubisys.tz.dimmer_setup_genLevelCtrl,2
tz.light_brightness_move,4
tz.light_brightness_step,2
ubisys.tz.configure_j1,2
local.tz.outlet_child_lock,1
local.tz.outlet_led_enable,1
local.tz.switch_operation_mode,4
local.tz.switch_led_enable,4
local.tz.switch_led_state,4
tz.ZMCSW032D_cover_position,1
tz.fan_mode,11
tz.thermostat_programming_operation_mode,3
tz.dawondns_only_off,1
tz.livolo_socket_switch_on_off,6
tz.livolo_curtain_switch_on_off,1
tz.livolo_dimmer_level,1
tz.livolo_cover_state,1
tz.livolo_cover_position,1
tz.livolo_cover_options,1
tz.diyruz_geiger_config,1
tz.diyruz_airsense_config,1
tz.diyruz_zintercom_config,1
tz.LS21001_alert_behaviour,1
tz.thermostat_occupancy,15
tz.thermostat_outdoor_temperature,4
tz.namron_thermostat,4
tz.namron_thermostat_child_lock,13
tz.legrand_identify,13
tz.legrand_device_mode,6
tz.tuya_cover_calibration,1
tz.tuya_cover_reversal,2
tuya.tz.backlight_indicator_mode_2,1
tuya.tz.backlight_indicator_mode_1,1
tz.tuya_led_controller,1
tz.ignore_rate,1
tuya.tz.datapoints,2
tuya.tz.power_on_behavior_2,1
tz.thermostat_unoccupied_cooling_setpoint,4
tz.thermostat_setpoint_raise_lower,8
tz.thermostat_remote_sensing,6
tz.thermostat_relay_status_log,6
tz.ts0216_alarm,1
tz.ts0216_duration,1
tz.ts0216_volume,1
tz.TS0210_sensitivity,1
tz.moes_cover_calibration,1
tz.wiser_dimmer_mode,5
tz.schneider_dimmer_mode,1
tz.wiser_sed_thermostat_local_temperature_calibration,1
tz.wiser_sed_occupied_heating_setpoint,2
tz.wiser_sed_thermostat_keypad_lockout,1
tz.wiser_vact_calibrate_valve,1
tz.wiser_sed_zone_mode,2
tz.wiser_fip_setting,1
tz.wiser_hact_config,1
tz.wiser_zone_mode,1
tz.occupancy_timeout,6
tz.schneider_pilot_mode,2
tz.schneider_thermostat_keypad_lockout,2
tz.thermostat_min_cool_setpoint_limit,3
tz.thermostat_max_cool_setpoint_limit,3
tz.thermostat_ac_louver_position,1
tz.thermostat_running_mode,8
tz.viessmann_window_open,1
tz.viessmann_window_open_force,1
tz.viessmann_assembly_mode,1
tz.thermostat_pi_heating_demand,2
tz.hue_wall_switch_device_mode,3
tz.eurotronic_thermostat_system_mode,1
tz.eurotronic_host_flags,1
tz.eurotronic_error_status,1
tz.eurotronic_current_heating_setpoint,1
tz.eurotronic_trv_mode,1
tz.eurotronic_valve_position,1
tz.powerfactor,2
tz.acvoltage,2
tz.accurrent,2
tz.temperature,6
legacy.tz.tuya_switch_state,1
legacy.tz.tuya_cover_control,1
legacy.tz.tuya_cover_options,1
legacy.tz.tuya_dimmer_state,1
legacy.tz.tuya_dimmer_level,1
tz.stelpro_thermostat_outdoor_temperature,6
legacy.tz.neo_alarm,3
tz.EMIZB_132_mode,1
develco.tz.led_control,2
develco.tz.ias_occupancy_timeout,2
develco.tz.pulse_configuration,1
develco.tz.interface_mode,1
develco.tz.current_summation,1
develco.tz.input,1
tz.STS_PRS_251_beep,1
tz.light_onoff_restorable_brightness,2
tz.acova_thermostat_system_mode,6
tz.legrand_pilot_wire_mode,1
tz.led_on_motion,1
tz.idlock_master_pin_mode,2
tz.idlock_rfid_enable,2
tz.idlock_service_mode,2
tz.idlock_lock_mode,2
tz.idlock_relock_enabled,2
tz.lock_auto_relock_time,1
tz.SPZ01_power_outage_memory,1
tz.elko_load,1
tz.elko_display_text,1
tz.elko_power_status,1
tz.elko_external_temp,1
tz.elko_mean_power,1
tz.elko_child_lock,1
tz.elko_frost_guard,1
tz.elko_relay_state,1
tz.elko_sensor_mode,1
tz.elko_local_temperature_calibration,1
tz.elko_max_floor_temp,1
tz.elko_regulator_mode,1
tz.elko_regulator_time,1
tz.elko_night_switching,1
tz.kmpcil_res005_on_off,1
tz.illuminance,1
tz.DTB190502A1_LED,1
tz.battery_voltage,2
bitron.tz.thermostat_hysteresis,2
