Service,Count
fz.cover_state_via_onoff,9
fz.occupancy_timeout,9
tz.identify,9
tz.thermostat_running_mode,9
develco.fz.temperature,9
fz.command_emergency,8
fz.command_ehanced_move_to_hue_and_saturation,8
ledvanceOnOff,8
tz.thermostat_temperature_setpoint_hold_duration,8
tz.light_color,8
philipsOnOff,8
fz.ignore_occupancy_report,8
fz.ignore_zclversion_read,7
develco.fz.electrical_measurement,7
tz.light_brightness_move,7
legacy.fz.genOnOff_cmdOn,7
tz.occupancy_timeout,7
ubisys.tz.configure_device_setup,7
tz.thermostat_relay_status_log,7
tz.thermostat_remote_sensing,7
fz.ignore_temperature_report,7
tz.arm_mode,7
fz.command_arm_with_transaction,7
fz.command_panic,7
fz.command_color_loop_set,7
tz.tuya_cover_reversal,7
legacy.fz.genOnOff_cmdOff,7
fz.command_cover_open,6
tz.lock_sound_volume,6
tz.thermostat_max_heat_setpoint_limit,6
tz.thermostat_min_heat_setpoint_limit,6
fz.ias_occupancy_alarm_1_report,6
fz.command_arm,6
ubisys.fz.configure_device_setup,6
fz.tuya_cover_options,6
indicatorMode,6
tz.wiser_dimmer_mode,6
fz.wiser_lighting_ballast_configuration,6
fz.command_cover_close,6
tuya.fz.power_outage_memory,6
fz.ignore_iaszone_report,6
fz.ias_ace_occupancy_with_timeout,6
tz.livolo_socket_switch_on_off,6
tz.temperature,6
legacy.tz.tuya_dimmer_state,6
fz.ignore_poll_ctrl,5
legacy.fz.tuya_light_wz5,5
fz.ignore_onoff_report,5
fz.tuya_operation_mode,5
fz.ias_gas_alarm_1,5
legacy.tz.tuya_cover_control,5
tuya.fz.power_on_behavior_1,5
tz.tuya_operation_mode,5
legacy.fz.tuya_cover,5
fz.command_cover_stop,5
legacy.tz.tuya_light_wz5,5
tz.tuya_cover_calibration,5
tz.stelpro_thermostat_outdoor_temperature,5
tz.legacy,5
deviceEndpoints,5
gledoptoConfigureReadModelID,5
legacy.fz.scenes_recall_click,5
fz.ias_wd,5
fz.command_move_color_temperature,5
fz.ias_siren,5
fz.co2,5
fz.power_source,5
fz.ias_vibration_alarm_1,5
tz.warning_simple,4
fz.ias_carbon_monoxide_alarm_1,4
legacy.fz.stelpro_thermostat,4
fz.tint_scene,4
humidity,4
fz.wiser_device_info,4
tz.ias_max_duration,4
fz.ignore_illuminance_report,4
fz.hue_motion_led_indication,4
fz.hue_motion_sensitivity,4
fz.stelpro_thermostat,4
tz.lock_userstatus,4
legacy.tz.tuya_cover_options,4
tz.thermostat_pi_heating_demand,4
temperature,4
legacy.fz.thermostat_att_report,4
fz.command_store,4
develco.fz.device_temperature,4
legacy.fz.moes_switch,4
tz.TYZB01_on_off,4
tz.frequency,4
fz.ias_gas_alarm_2,4
legacy.tz.moes_switch,4
legacy.fz.cmd_move,4
fz.ignore_iaszone_attreport,4
legacy.fz.cmd_stop,4
fz.legrand_binary_input_moving,4
tuya.tz.backlight_indicator_mode_1,4
fz.occupancy_with_timeout,3
fz.namron_hvac_user_interface,3
tz.thermostat_programming_operation_mode,3
tz.ignore_rate,3
fz.keen_home_smart_vent_pressure,3
fz.terncy_raw,3
tz.schneider_pilot_mode,3
tz.schneider_thermostat_keypad_lockout,3
fz.legrand_greenpower,3
fz.ptvo_multistate_action,3
legacy.fz.ptvo_switch_buttons,3
fz.EKO09738_metering,3
fz.schneider_pilot_mode,3
fz.command_status_change_notification_action,3
tuya.fz.indicator_mode,3
tz.thermostat_unoccupied_cooling_setpoint,3
fz.ias_occupancy_only_alarm_2,3
fz.DNCKAT_S00X_buttons,3
fz.tuya_relay_din_led_indicator,3
tz.tuya_relay_din_led_indicator,3
tz.squawk,3
fz.ZM35HQ_attr,3
tz.ts0216_volume,3
fz.tuya_led_controller,3
tuya.fz.gateway_connection_status,3
fz.smartthings_acceleration,3
fz.ts0216_siren,3
fz.ias_alarm_only_alarm_1,3
tz.ZM35HQ_attr,3
tz.nodon_pilot_wire_mode,3
tz.namron_thermostat_child_lock,3
tz.ptvo_switch_analog_input,3
identify,3
fz.ignore_genIdentify,3
tz.light_colortemp,3
tz.light_color_colortemp,3
fz.nodon_pilot_wire_mode,3
fz.ignore_power_report,3
tz.ptvo_switch_trigger,3
fz.command_off_with_effect,3
tz.light_brightness_step,3
fz.ignore_command_step,3
legacy.fz.cmd_move_with_onoff,3
fz.danfoss_thermostat,3
fz.lock_user_status_response,3
fz.ewelink_action,3
legacy.fz.cmd_stop_with_onoff,3
iasZoneAlarm,3
switchActions,3
fz.ignore_genLevelCtrl_report,3
fz.ignore_iaszone_statuschange,2
legacy.fz.st_button_state,2
legacy.fz.tuya_thermostat_weekly_schedule_1,2
tz.tint_scene,2
fz.danfoss_icon_regulator,2
fz.ias_water_leak_alarm_1_report,2
legacy.fz.insta_stop,2
fz._3310_humidity,2
tz.accurrent,2
tz.danfoss_multimaster_role,2
tz.danfoss_system_status_code,2
tz.acvoltage,2
fz.itcmdr_clicks,2
tz.light_onoff_restorable_brightness,2
fz.restorable_brightness,2
fz.color_colortemp,2
tz.light_color_mode,2
tz.light_color_options,2
fz.legrand_master_switch_center,2
fz.legrand_scenes,2
fz.ZB003X_occupancy,2
fz.ZB003X_attr,2
tz.light_hue_saturation_step,2
tz.light_hue_saturation_move,2
legacy.tz.nous_lcd_temperature_humidity_sensor,2
legacy.fz.insta_up_hold,2
fz.namron_thermostat,2
legacy.fz.nous_lcd_temperature_humidity_sensor,2
legacy.fz.ZB003X,2
tz.thermostat_outdoor_temperature,2
tz.namron_thermostat,2
fz.command_move_to_hue,2
tz.sihas_set_people,2
legacy.fz.insta_down_hold,2
tz.powerfactor,2
fz.tuya_multi_action,2
tz.danfoss_system_status_water,2
fz.ias_smoke_alarm_1_develco,2
legacy.fz.osram_lightify_switch_cmdMoveWithOnOff,2
legacy.fz.osram_lightify_switch_cmdOn,2
fz.schneider_temperature,2
fz.wiser_smart_thermostat,2
fz.wiser_smart_thermostat_client,2
fz.wiser_smart_setpoint_command_client,2
fz.ias_no_alarm,2
fz.ignore_command_stop,2
fz.ignore_command_off,2
fz.ignore_command_on,2
tz.thermostat_max_cool_setpoint_limit,2
tz.wiser_sed_occupied_heating_setpoint,2
tz.wiser_sed_zone_mode,2
tz.thermostat_min_cool_setpoint_limit,2
fz.legacy,2
develco.fz.fault_status,2
fz.curtain_position_analog_output,2
tz.danfoss_room_status_code,2
legacy.fz.wiser_itrv_battery,2
tuya.fz.switch_type,2
tuya.fz.power_on_behavior_2,2
fz.on_off_skip_duplicate_transaction,2
tz.danfoss_output_status,2
fz.danfoss_icon_battery,2
fz.sihas_people_cnt,2
fz.command_on_state,2
tuya.tz.switch_type,2
tuya.tz.power_on_behavior_2,2
fz.command_off_state,2
legacy.fz.osram_lightify_switch_cmdMove,2
tz.moes_cover_calibration,2
legacy.fz.osram_lightify_switch_cmdOff,2
fz.ignore_haDiagnostic,2
legacy.fz.wiser_thermostat,2
tz.schneider_temperature_measured_value,2
fz.awox_refreshColored,2
fz.legrand_binary_input_on_off,2
legacy.fz.heiman_smart_controller_armmode,2
gledoptoOnOff,2
fz.U02I007C01_contact,2
tz.easycode_auto_relock,2
fz.meazon_meter,2
tz.lock_auto_relock_time,2
legacy.tz.tuya_thermostat_current_heating_setpoint,2
ubisys.tz.dimmer_setup,2
ubisys.tz.dimmer_setup_genLevelCtrl,2
fz.SNZB02_temperature,2
local.fz.switch_operation_mode,2
local.fz.switch_action,2
legacy.tz.tuya_thermostat_weekly_schedule,2
local.fz.switch_status_led,2
local.tz.switch_operation_mode,2
fz.keypad20_battery,2
fz.awox_refresh,2
fz.awox_colors,2
local.tz.switch_led_enable,2
legacy.tz.ZB003X,2
local.tz.switch_led_state,2
tz.illuminance,2
fz.heiman_doorbell_button,2
fz.ptvo_switch_analog_input,2
fz.orvibo_raw_2,2
tz.ts0216_duration,2
fz.ignore_multistate_report,2
legacy.fz.ZMAM02_cover,2
legacy.tz.ZMAM02_cover,2
legacy.tz.tuya_thermostat_child_lock,2
ubisys.tz.configure_j1,2
tz.diyruz_freepad_on_off_config,2
fz.ikea_arrow_hold,2
fz.diyruz_freepad_clicks,2
fz.diyruz_freepad_config,2
legacy.fz.terncy_raw,2
legacy.fz.E1744_play_pause,2
fz.ikea_arrow_click,2
fz.terncy_temperature,2
fz.pm25,2
legacy.tz.ZB006X_settings,1
legacy.tz.saswell_thermostat_away,1
legacy.tz.saswell_thermostat_child_lock,1
fz.SAGE206612_state,1
fz.almond_click,1
fz.meter_identification,1
develco.tz.input,1
fz.convert,1
fz.lifecontrolVoc,1
develco.tz.current_summation,1
fz.command_on_presence,1
fz.checkin_presence,1
fz._8840100H_water_leak_alarm,1
legacy.tz.saswell_thermostat_window_detection,1
legacy.fz.RM01_on_click,1
tz.elko_load,1
fz.danfoss_thermostat_setpoint_scheduled,1
fz.ias_carbon_monoxide_alarm_1_gas_alarm_2,1
tz.elko_sensor_mode,1
tz.danfoss_thermostat_vertical_orientation,1
tz.danfoss_mounted_mode_control,1
tz.danfoss_mounted_mode_active,1
legacy.fz.RM01_stop,1
tz.danfoss_thermostat_occupied_heating_setpoint,1
fz.danfoss_icon_hvac_user_interface,1
legacy.fz.RM01_down_hold,1
legacy.fz.RM01_up_hold,1
legacy.tz.saswell_thermostat_mode,1
tz.RM01_light_brightness_move,1
legacy.fz.RM01_off_click,1
tz.elko_relay_state,1
develco.tz.interface_mode,1
fz.WSZ01_on_off_action,1
legacy.fz.neo_t_h_alarm,1
tz.elko_frost_guard,1
develco.tz.pulse_configuration,1
fz.elko_thermostat,1
fz.on_off_force_multiendpoint,1
legacy.tz.neo_t_h_alarm,1
jetHome.fz.multiStateAction,1
tz.elko_power_status,1
legacy.tz.neo_alarm,1
develco.fz.total_power,1
legacy.fz.ZB006X_settings,1
legacy.fz.KEF1PA_arm,1
bitron.fz.thermostat_hysteresis,1
tz.elko_display_text,1
legacy.tz.valve_state_auto_shutdown,1
tz.SPZ01_power_outage_memory,1
legacy.tz.shutdown_timer,1
legacy.tz.valve_state,1
lock,1
legacy.tz.neo_nas_pd07,1
tz.battery_voltage,1
legacy.tz.saswell_thermostat_anti_scaling,1
develco.fz.led_control,1
legacy.tz.saswell_thermostat_calibration,1
legacy.fz.neo_alarm,1
develco.tz.ias_occupancy_timeout,1
develco.tz.led_control,1
tz.elko_child_lock,1
tz.elko_mean_power,1
tz.EMIZB_132_mode,1
develco.fz.input,1
tz.elko_external_temp,1
fz.ignore_iasace_commandgetpanelstatus,1
legacy.tz.saswell_thermostat_frost_detection,1
legacy.fz.neo_nas_pd07,1
develco.fz.voc_battery,1
develco.fz.voc,1
develco.fz.interface_mode,1
develco.fz.pulse_configuration,1
develco.fz.ias_occupancy_timeout,1
legacy.tz.saswell_thermostat_current_heating_setpoint,1
tz.danfoss_algorithm_scale_factor,1
tz.elko_max_floor_temp,1
tz.danfoss_heat_available,1
tz.danfoss_heat_required,1
legacy.tz.moes_thermostat_calibration,1
legacy.tz.moes_thermostat_deadzone_temperature,1
legacy.tz.moes_thermostat_max_temperature_limit,1
fz.ias_sos_alarm_2,1
tz.STS_PRS_251_beep,1
tz.elko_night_switching,1
legacy.tz.moes_thermostat_min_temperature_limit,1
legacy.tz.moes_thermostat_program_schedule,1
legacy.tz.moesS_thermostat_current_heating_setpoint,1
legacy.tz.moesS_thermostat_child_lock,1
legacy.tz.moesS_thermostat_window_detection,1
fz.PGC410EU_presence,1
legacy.fz.STS_PRS_251_beeping,1
fz.STS_PRS_251_presence,1
legacy.fz.ZYCT202_up_down,1
legacy.fz.ZYCT202_stop,1
legacy.tz.moesS_thermostat_temperature_calibration,1
fz.kmpcil_res005_occupancy,1
legacy.tz.moesS_thermostat_boost_heating,1
legacy.tz.moesS_thermostat_boostHeatingCountdownTimeSet,1
legacy.tz.moesS_thermostat_eco_temperature,1
tz.acova_thermostat_system_mode,1
fz.qlwz_letv8key_switch,1
legacy.fz.insta_scene_click,1
legacy.tz.ZVG1_normal_schedule_timer,1
fz.legrand_power_alarm,1
tz.elko_regulator_mode,1
tz.legrand_power_alarm,1
tz.elko_regulator_time,1
tz.legrand_pilot_wire_mode,1
legacy.fz.moes_thermostat,1
legacy.fz.moesS_thermostat,1
legacy.fz.moes_cover,1
fz.plaid_battery,1
legacy.tz.ZVG1_cycle_timer,1
tz.RM01_light_onoff_brightness,1
legacy.tz.ZVG1_timer,1
legacy.tz.ZVG1_weather_delay,1
legacy.fz.ZVG1,1
fz.easycode_action,1
legacy.tz.moes_thermostat_child_lock,1
legacy.tz.moes_thermostat_current_heating_setpoint,1
legacy.tz.moes_thermostat_mode,1
legacy.tz.moes_thermostat_standby,1
legacy.tz.moes_thermostat_sensor,1
legacy.tz.moesS_thermostat_max_temperature,1
legacy.tz.moesS_thermostat_min_temperature,1
fz.kmpcil_res005_on_off,1
fz.DTB190502A1,1
tz.idlock_relock_enabled,1
tz.danfoss_load_balancing_enable,1
tz.danfoss_radiator_covered,1
fz.heiman_scenes,1
tz.danfoss_external_measured_room_sensor,1
tz.danfoss_viewing_direction,1
fz.heiman_hcho,1
fz.heiman_air_quality,1
fz.heiman_ir_remote,1
tz.danfoss_load_estimate,1
tz.idlock_lock_mode,1
tz.danfoss_window_open_external,1
tz.heiman_ir_remote,1
fz.legrand_pilot_wire_mode,1
tz.DTB190502A1_LED,1
legacy.fz.saswell_thermostat,1
tz.danfoss_window_open_internal,1
tz.elko_local_temperature_calibration,1
tz.danfoss_trigger_time,1
tz.danfoss_day_of_week,1
fz.orvibo_raw_1,1
tz.idlock_service_mode,1
legacy.tz.moesS_thermostat_moesSecoMode,1
fz.led_on_motion,1
tz.kmpcil_res005_on_off,1
legacy.tz.moesS_thermostat_preset,1
legacy.tz.moesS_thermostat_schedule_programming,1
legacy.tz.moesS_thermostat_system_mode,1
legacy.tz.moes_cover,1
fz.metering_datek,1
fz.hw_version,1
tz.danfoss_thermostat_occupied_heating_setpoint_scheduled,1
tz.danfoss_regulation_setpoint_offset,1
tz.danfoss_adaptation_control,1
tz.idlock_rfid_enable,1
tz.danfoss_adaptation_settings,1
fz.idlock,1
tz.danfoss_adaptation_status,1
fz.idlock_fw,1
tz.danfoss_preheat_status,1
tz.danfoss_window_open_feature,1
tz.led_on_motion,1
tz.danfoss_load_room_mean,1
tz.idlock_master_pin_mode,1
tz.RM01_light_brightness_step,1
legacy.tz.tuya_thermostat_preset,1
legacy.fz.osram_lightify_switch_73743_cmdStop,1
fz.tuya_doorbell_button,1
fz.livolo_new_switch_state,1
fz.livolo_new_switch_state_4gang,1
fz.livolo_switch_state_raw,1
fz.livolo_switch_state,1
legacy.fz.CTR_U_scene,1
legacy.fz.CTR_U_brightness_updown_release,1
legacy.fz.CTR_U_brightness_updown_hold,1
legacy.fz.CTR_U_brightness_updown_click,1
legacy.tz.silvercrest_smart_led_string,1
legacy.fz.silvercrest_smart_led_string,1
fz.tuya_switch_scene,1
fz.CCTSwitch_D0001_lighting,1
fz.livolo_curtain_switch_state,1
fz.CCTSwitch_D0001_levelctrl,1
legacy.fz.CCTSwitch_D0001_on_off,1
tz.dawondns_only_off,1
fz.KAMI_occupancy,1
fz.KAMI_contact,1
customTimeResponse,1
forceDeviceType,1
tz.power_source,1
fz.ignore_electrical_measurement,1
fz.ignore_metering,1
legacy.tz.tuya_data_point_test,1
fz.livolo_new_switch_state_2gang,1
fz.livolo_socket_state,1
legacy.tz.tuya_dimmer_level,1
fz.diyruz_geiger,1
legacy.fz.terncy_knob,1
fz.terncy_contact,1
tz.diyruz_zintercom_config,1
tz.diyruz_airsense_config,1
tz.diyruz_geiger_config,1
fz.diyruz_zintercom_config,1
fz.diyruz_airsense_config_hum,1
fz.diyruz_airsense_config_pres,1
fz.diyruz_airsense_config_temp,1
fz.diyruz_airsense_config_co2,1
fz.diyruz_geiger_config,1
fz.diyruz_rspm,1
fz.livolo_dimmer_state,1
fz.diyruz_contact,1
fz.keypad20states,1
fz.E1E_G7F_action,1
fz.U02I007C01_water_leak,1
tz.livolo_cover_options,1
tz.livolo_cover_position,1
tz.livolo_cover_state,1
tz.livolo_dimmer_level,1
tz.livolo_curtain_switch_on_off,1
fz.livolo_pir_state,1
fz.livolo_cover_state,1
tz.ZMCSW032D_cover_position,1
fz.ZMCSW032D_cover_position,1
local.tz.outlet_led_enable,1
legacy.fz.etop_thermostat,1
ota,1
tz.ZigUP_lock,1
tz.ptvo_switch_light_brightness,1
tz.ptvo_switch_uart,1
fz.SNZB02_humidity,1
fz.ZigUP,1
fz.ptvo_switch_uart,1
fz.CC2530ROUTER_meta,1
fz.CC2530ROUTER_led,1
legacy.tz.etop_thermostat_away_mode,1
legacy.tz.etop_thermostat_system_mode,1
legacy.fz.immax_07046L_arm,1
local.tz.outlet_child_lock,1
legacy.fz.konke_click,1
fz.konke_action,1
fz.ias_keypad,1
fz.enocean_ptm216z,1
fz.enocean_ptm215ze,1
fz.enocean_ptm215z,1
fz.adeo_button_65024,1
fz.scenes_recall_scene_65024,1
fz.color_stop_raw,1
fz.command_step_saturation,1
fz.command_step_hue,1
fz.ignore_light_brightness_report,1
legacy.fz.cmd_move_to_level_with_onoff,1
fz.E1524_E1810_toggle,1
fz.E1524_E1810_levelctrl,1
local.fz.outlet,1
legacy.fz.ubisys_c4_cover,1
legacy.fz.ubisys_c4_level,1
legacy.fz.ubisys_c4_onoff,1
legacy.fz.ubisys_c4_scenes,1
ubisys.fz.dimmer_setup_genLevelCtrl,1
ubisys.fz.dimmer_setup,1
legacy.tz.frankever_timer,1
legacy.tz.frankever_threshold,1
legacy.fz.frankever_valve,1
fz.easycodetouch_action,1
fz.rc_110_level_to_scene,1
tz.light_color_and_colortemp_via_color,1
legacy.fz.cover_stop,1
legacy.fz.cover_open,1
legacy.fz.cover_close,1
fz.E1745_requested_brightness,1
fz.tradfri_occupancy,1
legacy.fz.E1744_skip,1
legacy.fz.E1743_brightness_stop,1
legacy.fz.E1743_brightness_down,1
legacy.fz.E1743_brightness_up,1
fz.ikea_arrow_release,1
co2,1
tz.LS21001_alert_behaviour,1
fz.javis_lock_report,1
fz.hue_wall_switch_device_mode,1
tz.eurotronic_error_status,1
tz.eurotronic_host_flags,1
tz.eurotronic_thermostat_system_mode,1
legacy.fz.eurotronic_thermostat,1
tz.hue_wall_switch_device_mode,1
fz.hue_tap,1
fz.hue_smart_button_event,1
legacy.fz.SmartButton_skip,1
fz.hue_dimmer_switch,1
legacy.fz.hue_dimmer_switch,1
fz.hue_wall_switch,1
tz.viessmann_assembly_mode,1
tz.wiser_sed_thermostat_local_temperature_calibration,1
tz.viessmann_window_open_force,1
tz.viessmann_window_open,1
legacy.fz.viessmann_thermostat_att_report,1
tz.thermostat_ac_louver_position,1
socketIndicatorMode,1
fanIndicatorOrientation,1
fanIndicatorMode,1
tz.wiser_zone_mode,1
tz.wiser_hact_config,1
tz.wiser_fip_setting,1
tz.wiser_vact_calibrate_valve,1
tz.eurotronic_current_heating_setpoint,1
tz.eurotronic_trv_mode,1
tz.eurotronic_valve_position,1
legacy.fz.osram_lightify_switch_AC0251100NJ_cmdStop,1
legacy.fz.tuya_dimmer,1
legacy.fz.tint404011_brightness_updown_hold,1
legacy.fz.tint404011_brightness_updown_release,1
legacy.fz.tint404011_move_to_color,1
legacy.fz.tint404011_move_to_color_temp,1
legacy.fz.tint404011_brightness_updown_click,1
fz.byun_gas_false,1
fz.byun_gas_true,1
fz.byun_smoke_false,1
fz.byun_smoke_true,1
fz.W2_module_carbon_monoxide,1
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveSat,1
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveHue,1
legacy.fz.osram_lightify_switch_AB371860355_cmdStop,1
legacy.fz.osram_lightify_switch_AB371860355_cmdMove,1
legacy.fz.osram_lightify_switch_AB371860355_cmdMoveWithOnOff,1
legacy.fz.osram_lightify_switch_AB371860355_cmdStepColorTemp,1
legacy.fz.osram_lightify_switch_AB371860355_cmdOff,1
legacy.fz.osram_lightify_switch_AB371860355_cmdOn,1
legacy.fz.osram_lightify_switch_cmdMoveToLevelWithOnOff,1
legacy.fz.osram_lightify_switch_cmdMoveToSaturation,1
legacy.fz.osram_lightify_switch_cmdMoveHue,1
legacy.fz.osram_lightify_switch_cmdMoveToColorTemp,1
tz.wiser_sed_thermostat_keypad_lockout,1
tz.schneider_thermostat_pi_heating_demand,1
legacy.fz.javis_microwave_sensor,1
legacy.tz.evanell_thermostat_current_heating_setpoint,1
legacy.tz.tuya_thermostat_auto_lock,1
legacy.tz.tuya_thermostat_system_mode,1
legacy.tz.tuya_thermostat_valve_detection,1
legacy.tz.siterwell_thermostat_window_detection,1
legacy.fz.tuya_thermostat,1
fz.K4003C_binary_input,1
legacy.fz.eria_81825_updown,1
legacy.fz.dimmer_passthru_brightness,1
legacy.fz.LZL4B_onoff,1
legacy.tz.evanell_thermostat_child_lock,1
legacy.tz.evanell_thermostat_system_mode,1
legacy.fz.evanell_thermostat,1
tz.schneider_thermostat_control_sequence_of_operation,1
fz.SP600_power,1
fz.sunricher_switch2801K4,1
fz.sunricher_switch2801K2,1
legacy.fz.ZGRC013_cmdOff,1
legacy.fz.ZGRC013_cmdOn,1
legacy.fz.ZGRC013_brightness_stop,1
legacy.fz.ZGRC013_brightness,1
legacy.fz.ZGRC013_brightness_onoff,1
legacy.fz.blitzwolf_occupancy_with_timeout,1
tuya.fz.backlight_mode_low_medium_high,1
legacy.tz.javis_microwave_sensor,1
legacy.tz.tuya_thermostat_calibration,1
legacy.tz.tuya_thermostat_min_temp,1
legacy.tz.tuya_thermostat_max_temp,1
legacy.tz.tuya_thermostat_comfort_temp,1
tz.schneider_thermostat_occupied_heating_setpoint,1
tz.schneider_thermostat_system_mode,1
tz.schneider_dimmer_mode,1
fz.schneider_ui_action,1
fz.schneider_lighting_ballast_configuration,1
legacy.tz.tuya_smart_human_presense_sensor,1
tz.ts0201_temperature_humidity_alarm,1
tz.TS0210_sensitivity,1
tz.ts0216_alarm,1
tz.tuya_led_control,1
tz.tuya_led_controller,1
tuya.tz.backlight_indicator_mode_2,1
tuya.tz.do_not_disturb,1
fz.tuya_cover_options_2,1
legacy.fz.tuya_smart_human_presense_sensor,1
fz.command_stop_move_raw,1
fz.ts0201_temperature_humidity_alarm,1
fz.ias_vibration_alarm_1_with_timeout,1
fz.ignore_tuya_raw,1
tuya.fz.backlight_mode_off_on,1
legacy.tz.tuya_thermostat_boost_time,1
legacy.tz.tuya_thermostat_force,1
legacy.tz.tuya_thermostat_eco_temp,1
bitron.tz.thermostat_hysteresis,1
